CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,16:40:00,30,Sacramento Valley Station
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,16:10:00,30,Sacramento Valley Station
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,15:40:00,30,Sacramento Valley Station
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,15:10:00,30,Sacramento Valley Station
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,14:40:00,30,Sacramento Valley Station
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,21:27:00,30,Sacramento Valley Station
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,20:27:00,30,Sacramento Valley Station
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,19:27:00,30,Sacramento Valley Station
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,18:26:00,30,Sacramento Valley Station
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,17:56:00,30,Sacramento Valley Station
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,17:26:00,30,Sacramento Valley Station
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,16:56:00,30,Sacramento Valley Station
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,16:25:00,30,Sacramento Valley Station
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,15:55:00,30,Sacramento Valley Station
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,15:25:00,30,Sacramento Valley Station
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,14:55:00,30,Sacramento Valley Station
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,14:25:00,30,Sacramento Valley Station
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,13:55:00,30,Sacramento Valley Station
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,13:25:00,30,Sacramento Valley Station
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,12:55:00,30,Sacramento Valley Station
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,12:25:00,30,Sacramento Valley Station
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,11:55:00,30,Sacramento Valley Station
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,11:25:00,30,Sacramento Valley Station
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,10:56:00,30,Sacramento Valley Station
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,10:26:00,30,Sacramento Valley Station
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,9:56:00,30,Sacramento Valley Station
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,9:26:00,30,Sacramento Valley Station
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,8:56:00,30,Sacramento Valley Station
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,8:26:00,30,Sacramento Valley Station
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,7:56:00,30,Sacramento Valley Station
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,7:26:00,30,Sacramento Valley Station
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,6:56:00,30,Sacramento Valley Station
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,6:26:00,30,Sacramento Valley Station
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,5:56:00,30,Sacramento Valley Station
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,17:53:00,30,CSUS
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,17:27:00,30,CSUS
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,16:57:00,30,CSUS
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,8:53:00,30,CSUS
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,8:23:00,30,CSUS
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,7:53:00,30,CSUS
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,21:33:00,30,CSUS
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,20:33:00,30,CSUS
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,19:33:00,30,CSUS
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,19:03:00,30,CSUS
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,18:37:00,30,CSUS
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,18:07:00,30,CSUS
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,17:41:00,30,CSUS
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,17:11:00,30,CSUS
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,16:41:00,30,CSUS
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,16:11:00,30,CSUS
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,15:41:00,30,CSUS
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,15:10:00,30,CSUS
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,14:40:00,30,CSUS
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,14:10:00,30,CSUS
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,13:40:00,30,CSUS
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,13:10:00,30,CSUS
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,12:40:00,30,CSUS
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,12:10:00,30,CSUS
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,11:40:00,30,CSUS
CARLSON DR & STATE UNIV DRIVE NORTH (EB),275,11:10:00,30,CSUS
